"id","code","market_cap"
212,"HMC","1871824680.00"
213,"BGL","1866120142.00"
214,"CMM","1856245385.00"
215,"360","1855426938.00"
216,"GNC","1849590876.00"
217,"BKL","1847615819.00"
218,"HLS","1839577730.00"
219,"IVC","1832452524.00"
220,"LIC","1829539793.00"
221,"CBAPL","1828034302.00"
222,"WPR","1827341008.00"
223,"RRL","1827162739.00"
224,"JLG","1815393078.00"
225,"NEU","1812420480.00"
226,"WBCPK","1811250000.00"
227,"INA","1809669692.00"
228,"WBCPJ","1804930839.00"
229,"DDR","1800630897.00"
230,"LSF","1794359218.00"
231,"MXT","1791903259.00"
232,"CBAPK","1786050000.00"
233,"CMW","1780829355.00"
234,"MFG","1778032610.00"
235,"RMS","1774850311.00"
236,"WBCPH","1756261494.00"
237,"ABC","1750923175.00"
238,"MFF","1747599702.00"
239,"GUD","1740049496.00"
240,"SKC","1733267877.00"
241,"VAF","1730706747.00"
242,"NAN","1723168721.00"
243,"BOE","1711727785.00"
244,"CBAPI","1709400000.00"
245,"GMD","1701646555.00"
246,"AN3PG","1680392000.00"
247,"MAQ","1678050393.00"
248,"CBAPH","1650261000.00"
249,"ASK","1629487673.00"
250,"PNV","1613623637.00"
251,"EMR","1611313925.00"
252,"CCP","1602293790.00"
253,"CBAPM","1596500000.00"
254,"WBCPL","1589054573.00"
255,"CGC","1575366198.00"
256,"AN3PI","1568505000.00"
257,"MAD","1534000000.00"
258,"JDO","1531145023.00"
259,"AN3PK","1516500000.00"
260,"WBT","1508939030.00"
261,"PPH","1507929911.00"
262,"LNW","1497965095.00"
263,"KAR","1495398002.00"
264,"UMG","1483928510.00"
265,"WBCPI","1477119973.00"
266,"CDA","1461407871.00"
267,"BKI","1456881307.00"
268,"CNI","1431636261.00"
269,"AX1","1430871291.00"
270,"CBAPG","1428322350.00"
271,"ELD","1409853932.00"
272,"MND","1404584977.00"
273,"RDX","1391465784.00"
274,"DBI","1388132668.00"
275,"MMS","1373360433.00"
276,"ARF","1344491062.00"
277,"LFS","1341182869.00"
278,"OCL","1336709832.00"
279,"AN3PJ","1333187000.00"
280,"RCAP","1327914750.00"
281,"CTT","1326709006.00"
282,"IXJ","1325397019.00"
283,"FAIR","1324666310.00"
284,"SDR","1323067970.00"
285,"ING","1263710643.00"
286,"NABPJ","1258750000.00"
287,"AUI","1258207089.00"
288,"SYR","1247401985.00"
289,"STX","1242871600.00"
290,"SLR","1236559963.00"
291,"ARU","1235351417.00"
292,"AZS","1227237087.00"
293,"NWH","1226298337.00"
294,"CBAPJ","1212214000.00"
295,"HLI","1206935441.00"
296,"CKF","1206625063.00"
297,"QPON","1205457898.00"
298,"HGH","1199322358.00"
299,"LFG","1196987260.00"
300,"IMD","1196307648.00"
301,"BGA","1195694561.00"
302,"DTL","1179591774.00"
303,"IHVV","1179205263.00"
304,"SIQ","1177640638.00"
305,"LLL","1169873447.00"
306,"CQE","1165901347.00"
307,"MSB","1131744707.00"
308,"VSL","1127485548.00"
309,"LNK","1118312709.00"
310,"RSG","1117728449.00"
311,"PWH","1117233184.00"
312,"ABPDA","1117072041.00"
313,"DUI","1116196504.00"
314,"WAF","1115699744.00"
315,"AD8","1110982270.00"
316,"LRS","1101745105.00"
317,"MGH","1096880380.00"
318,"HSN","1096525274.00"
319,"ABG","1090262312.00"
320,"PTM","1070688993.00"
321,"MQGPC","1055500000.00"
322,"A4N","1050410460.00"
323,"GEM","1042290087.00"
324,"GRR","1035818135.00"
325,"RED","1021345829.00"
326,"SUBD","1015573610.00"
327,"CUV","1007970895.00"
328,"DYL","997280132.00"
329,"ERA","996673463.00"
330,"SLX","995843254.00"
331,"VGB","995558899.00"
332,"ABB","994641494.00"
333,"AN3PF","993560416.00"
334,"JIN","993373731.00"
335,"ASB","993090738.00"
336,"TUA","990364632.00"
337,"BGP","986852397.00"
338,"AGY","983085249.00"
339,"AAC","982509798.00"
340,"NCK","981720000.00"
341,"BRN","980717270.00"
342,"AN3PH","979773590.00"
343,"NWS","970632373.00"
344,"CXL","970360743.00"
345,"MQGPD","968875370.00"
346,"IMU","963455867.00"
347,"OML","963150777.00"
348,"NABPE","956886646.00"
349,"MAF","946766777.00"
350,"DXI","945464338.00"
351,"LKE","924589060.00"
352,"COF","910938820.00"
353,"ADT","905016949.00"
